prefix	MIM_number	preferred_title	alternative_title	symbols	neo4j_id
Number Sign	614091	SHORT-RIB THORACIC DYSPLASIA 7 WITH OR WITHOUT POLYDACTYLY; SRTD7	SHORT RIB-POLYDACTYLY SYNDROME, TYPE V; SRPS5		533197
Number Sign	614096	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8; COXPD8	CARDIOMYOPATHY, HYPERTROPHIC MITOCHONDRIAL, FATAL INFANTILE		513429
Number Sign	614097	ACATALASEMIA	ACATALASIA;; CATALASE DEFICIENCY		539067
Number Sign	614098	KEPPEN-LUBINSKY SYNDROME; KPLBS			519742
Number Sign	614099	CRANIOECTODERMAL DYSPLASIA 3; CED3			7214
Percent	614100	CUTIS LAXA, NEONATAL, WITH MARFANOID PHENOTYPE	CUTIS LAXA-MARFANOID SYNDROME		828759
Percent	614101	PLASMA FIBRONECTIN DEFICIENCY			526355
Number Sign	614102	IMMUNOGLOBULIN KAPPA LIGHT CHAIN DEFICIENCY; IGKCD	KAPPA CHAIN DEFICIENCY		851025
Percent	614103	LIPEDEMA			828757
Number Sign	614104	MENTAL RETARDATION, AUTOSOMAL DOMINANT 7; MRD7			7028
Number Sign	614105	METHYLMALONATE SEMIALDEHYDE DEHYDROGENASE DEFICIENCY; MMSDHD	MMSDH DEFICIENCY		521011
Number Sign	614111	PYRUVATE DEHYDROGENASE E1-BETA DEFICIENCY; PDHBD			532677
Number Sign	614113	MENTAL RETARDATION, AUTOSOMAL DOMINANT 2; MRD2			534424
Number Sign	614114	MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 2; MVA2			521026
Number Sign	614115	CORTICAL MALFORMATIONS, OCCIPITAL; OCCM			496920
Number Sign	614116	NEUROPATHY, HEREDITARY SENSORY, TYPE IE; HSN1E	HSN IE;; NEUROPATHY, HEREDITARY SENSORY, WITH HEARING LOSS AND DEMENTIA		6824
Number Sign	614120	HYDROLETHALUS SYNDROME 2; HLS2			528575
Number Sign	614122	CHITOTRIOSIDASE DEFICIENCY; CHITD			505879
Number Sign	614128	LACTATE DEHYDROGENASE B DEFICIENCY; LDHBD			534651
Number Sign	614129	PERRAULT SYNDROME 3; PRLTS3	DEAFNESS, AUTOSOMAL RECESSIVE 81, FORMERLY; DFNB81, FORMERLY		6797
Number Sign	614131	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 6; FSGS6	GLOMERULOSCLEROSIS, FOCAL SEGMENTAL, 6		502353
Number Sign	614134	STICKLER SYNDROME, TYPE IV; STL4			6782
Number Sign	614135	EPIPHYSEAL DYSPLASIA, MULTIPLE, 6; EDM6			6772
Percent	614149	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 9; NDNC9	ANONYCHIA-ONYCHOLYSIS, ISOLATED;; ONYCHODYSTROPHY;; NAIL DYSPLASIA		820236
Number Sign	614152	DEAFNESS, AUTOSOMAL DOMINANT 64; DFNA64			539867
Number Sign	614153	SPINOCEREBELLAR ATAXIA 36; SCA36			6896
Number Sign	614156	HYPERBILIVERDINEMIA; HBLVD	GREEN JAUNDICE		523083
Number Sign	614157	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 10; NDNC10	CLAW-SHAPED NAILS;; ONYCHAUXIS, HYPONYCHIA, AND ONYCHOLYSIS		509518
NULL	614158	BLEEDING DISORDER, PLATELET-TYPE, 14; BDPLT14	THROMBOXANE SYNTHETASE DEFICIENCY		512199
Number Sign	614160	MUSCLE HYPERTROPHY; MSLHP			536324
Number Sign	614162	IMMUNODEFICIENCY 31C; IMD31C	CANDIDIASIS, FAMILIAL, 7; CANDF7;; CANDIDIASIS, FAMILIAL CHRONIC MUCOCUTANEOUS, AUTOSOMAL DOMINANT		532645
Number Sign	614163	DELAYED SLEEP PHASE DISORDER, SUSCEPTIBILITY TO; DSPD			506283
Percent	614164	GLUTATHIONE PEROXIDASE DEFICIENCY; GPXD			537181
Number Sign	614165	PARAGANGLIOMAS 5; PGL5			6870
Percent	614166	MYOPIA 20, AUTOSOMAL DOMINANT; MYP20			820251
Number Sign	614167	MYOPIA 21, AUTOSOMAL DOMINANT; MYP21			538673
Number Sign	614170	BRITTLE CORNEA SYNDROME 2; BCS2			516921
Number Sign	614171	HERMANSKY-PUDLAK SYNDROME 9; HPS9			6859
Number Sign	614172	IMMUNODEFICIENCY 21; IMD21	DENDRITIC CELL, MONOCYTE, B LYMPHOCYTE, AND NATURAL KILLER LYMPHOCYTE DEFICIENCY; DCML;; MONOCYTOPENIA AND MYCOBACTERIAL INFECTION SYNDROME; MONOMAC;; MONOCYTOPENIA WITH SUSCEPTIBILITY TO MYCOBACTERIAL, FUNGAL, AND PAPILLOMAVIRUS INFECTIONS AND MYELODYSPLASIA;; COMBINED IMMUNODEFICIENCY WITH SUSCEPTIBILITY TO MYCOBACTERIAL, VIRAL, AND FUNGAL INFECTIONS;; GATA2 DEFICIENCY		533272
Number Sign	614173	JOUBERT SYNDROME 13; JBTS13			6861
Number Sign	614175	MECKEL SYNDROME, TYPE 10; MKS10			524842
Number Sign	614180	RETINITIS PIGMENTOSA 61; RP61			533404
Number Sign	614181	RETINITIS PIGMENTOSA 62; RP62			6833
Number Sign	614185	GELEOPHYSIC DYSPLASIA 2; GPHYSD2			6842
Number Sign	614186	LEBER CONGENITAL AMAUROSIS 16; LCA16			6840
Percent	614187	HYPERTELORISM, PREAURICULAR SINUS, PUNCTAL PITS, AND DEAFNESS; HPPD			828706
Number Sign	614188	CRANIOSYNOSTOSIS AND DENTAL ANOMALIES; CRSDA	KREIBORG-PAKISTANI SYNDROME		505529
Number Sign	614190	PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 3; PPNAD3	CUSHING SYNDROME, ADRENAL, DUE TO PPNAD3		520211
Number Sign	614192	MACROCEPHALY, MACROSOMIA, AND FACIAL DYSMORPHISM SYNDROME; MMFD			521243
Number Sign	614195	CRANIOFACIAL ANOMALIES AND ANTERIOR SEGMENT DYSGENESIS SYNDROME; CAASDS			516314
Number Sign	614196	NEPHROTIC SYNDROME, TYPE 6; NPHS6			517334
Number Sign	614198	MYASTHENIC SYNDROME, CONGENITAL, 16; CMS16	MYASTHENIC SYNDROME, CONGENITAL, ACETAZOLAMIDE-RESPONSIVE		7815
Number Sign	614199	NEPHROTIC SYNDROME, TYPE 5, WITH OR WITHOUT OCULAR ABNORMALITIES; NPHS5			518026
Percent	614200	BLEEDING DISORDER, PLATELET-TYPE, 9; BDPLT9	GLYCOPROTEIN Ia DEFICIENCY;; GP Ia DEFICIENCY;; COLLAGEN PLATELET RECEPTOR DEFICIENCY		529183
Number Sign	614201	BLEEDING DISORDER, PLATELET-TYPE, 11; BDPLT11	GLYCOPROTEIN VI DEFICIENCY;; GP VI DEFICIENCY		513006
Number Sign	614202	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 15; MRT15			502970
Number Sign	614203	PARKINSON DISEASE 17; PARK17			7608
Number Sign	614204	PSORIASIS 14, PUSTULAR; PSORS14	INTERLEUKIN 36 RECEPTOR ANTAGONIST DEFICIENCY; DITRA;; GENERALIZED PUSTULAR PSORIASIS; GPP;; PSORP;; ACRODERMATITIS CONTINUA OF HALLOPEAU;; PALMOPLANTAR PUSTULOSIS		524699
Number Sign	614205	THREE M SYNDROME 3; 3M3	3M SYNDROME 3		7603
Number Sign	614207	HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 3; HPMRS3	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 17; MRT17;; MENTAL RETARDATION, AUTOSOMAL RECESSIVE 21; MRT21;; GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 8; GPIBD8		518596
Percent	614208	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 16; MRT16			820270
Number Sign	614209	MECKEL SYNDROME, TYPE 9; MKS9			505558
Percent	614210	LUNG CANCER SUSCEPTIBILITY 5; LNCR5			851344
Percent	614211	DEAFNESS, AUTOSOMAL DOMINANT 33; DFNA33			820268
Number Sign	614212	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 4; IIAE4			540325
Number Sign	614213	NEUROPATHY, HEREDITARY SENSORY, TYPE IIC; HSN2C			7590
Number Sign	614219	ADAMS-OLIVER SYNDROME 2; AOS2			7589
Percent	614220	BILIARY CIRRHOSIS, PRIMARY, 4; PBC4			820267
Percent	614221	BILIARY CIRRHOSIS, PRIMARY, 5; PBC5			820284
Number Sign	614222	WARBURG MICRO SYNDROME 3; WARBM3	MICRO SYNDROME 3		513950
Percent	614223	NARCOLEPSY 6, SUSCEPTIBILITY TO; NRCLP6			820265
Number Sign	614224	RETINAL ARTERIAL MACROANEURYSM WITH SUPRAVALVULAR PULMONIC STENOSIS; RAMSVPS			523531
Number Sign	614225	WARBURG MICRO SYNDROME 2; WARBM2	MICRO SYNDROME 2		516899
Number Sign	614226	HOLOPROSENCEPHALY 11; HPE11			532689
Percent	614227	HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 3; HNFJ3			820264
Number Sign	614228	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2O; CMT2O	CHARCOT-MARIE-TOOTH NEUROPATHY, AXONAL, TYPE 2O;; CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2O		7574
Number Sign	614229	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 11; SCAR11			522237
Number Sign	614230	CHROMOSOME 8q21.11 DELETION SYNDROME			828509
Number Sign	614231	MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME; MEDS			537985
Percent	614233	HYPERPIGMENTATION, FAMILIAL PROGRESSIVE, 1; FPH1	FPH		831414
Percent	614237	HYPOTRICHOSIS 9; HYPT9			820259
Percent	614238	HYPOTRICHOSIS 10; HYPT10			820258
Number Sign	614249	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 18; MRT18			531625
Number Sign	614250	NARCOLEPSY 7; NRCLP7			532749
Number Sign	614251	PARKINSON DISEASE 18, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO; PARK18			528867
Percent	614252	ANEURYSM, INTRACRANIAL BERRY, 11; ANIB11			820256
Number Sign	614254	MENTAL RETARDATION, AUTOSOMAL DOMINANT 8; MRD8			521346
Number Sign	614255	MENTAL RETARDATION, AUTOSOMAL DOMINANT 9; MRD9			70530
Number Sign	614256	MENTAL RETARDATION, AUTOSOMAL DOMINANT 10; MRD10			501357
Number Sign	614257	MENTAL RETARDATION, AUTOSOMAL DOMINANT 11; MRD11			527723
Number Sign	614261	MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP			7368
Number Sign	614262	ARTHROGRYPOSIS, PERTHES DISEASE, AND UPWARD GAZE PALSY; APUG			529432
Number Sign	614265	COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA			505756
Number Sign	614266	BARRETT ESOPHAGUS	BARRETT METAPLASIA	ADENOCARCINOMA OF ESOPHAGUS, INCLUDED	502536
Number Sign	614278	PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE DEFICIENCY; PAFAD			534931
Number Sign	614279	46,XY SEX REVERSAL 8; SRXY8	MALE PSEUDOHERMAPHRODITISM DUE TO DEFICIENCY OF TESTICULAR 17,20-DESMOLASE; TDD		510752
Percent	614280	EPILEPSY, JUVENILE MYOCLONIC, SUSCEPTIBILITY TO, 9; EJM9			843767
Number Sign	614284	STICKLER SYNDROME, TYPE V; STL5			7477
Number Sign	614286	MYELODYSPLASTIC SYNDROME; MDS	MYELODYSPLASTIC SYNDROME, SUSCEPTIBILITY TO, INCLUDED		498212
Number Sign	614290	TETRASOMY 18p	ISOCHROMOSOME 18p SYNDROME		851406
Number Sign	614291	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4; BROVCA4			522827
Number Sign	614292	MYOPIA, HIGH, WITH CATARACT AND VITREORETINAL DEGENERATION; MCVD			524701
Number Sign	614293	HYDATIDIFORM MOLE, RECURRENT, 2; HYDM2	HYDATIDIFORM MOLE, COMPLETE		520854
Number Sign	614294	CHROMOSOME 15q25 DELETION SYNDROME			828477
Number Sign	614296	WOLFRAM-LIKE SYNDROME, AUTOSOMAL DOMINANT; WFSL	HEARING LOSS, PROGRESSIVE, WITH OPTIC ATROPHY AND/OR IMPAIRED GLUCOSE REGULATION		525843
Number Sign	614298	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 4; NBIA4	MITOCHONDRIAL PROTEIN-ASSOCIATED NEURODEGENERATION; MPAN		7454
Number Sign	614299	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 WITH HYPERGLYCINEMIA; MMDS2			506658
Number Sign	614300	HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 8, FORMERLY; MRT8, FORMERLY		514017
Number Sign	614302	EMERY-DREIFUSS MUSCULAR DYSTROPHY 7, AUTOSOMAL DOMINANT; EDMD7			519968
Number Sign	614303	EDICT SYNDROME; EDICT	ENDOTHELIAL DYSTROPHY, IRIS HYPOPLASIA, CONGENITAL CATARACT, AND STROMAL THINNING SYNDROME;; KERATOCONUS WITH CATARACT; KTCNCT;; KERATOCONUS, FAMILIAL, WITH EARLY-ONSET ANTERIOR POLAR CATARACT		512563
Number Sign	614305	SCLEROSTEOSIS 2; SOST2			538693
Number Sign	614306	COGNITIVE IMPAIRMENT WITH OR WITHOUT CEREBELLAR ATAXIA; CIAT			8092
Number Sign	614307	ALPHA-METHYLACYL-CoA RACEMASE DEFICIENCY; AMACRD	AMACR DEFICIENCY		532221
Percent	614317	VESICOURETERAL REFLUX 4; VUR4			820302
Percent	614318	VESICOURETERAL REFLUX 5; VUR5			820303
Percent	614319	VESICOURETERAL REFLUX 6; VUR6			820300
Number Sign	614320	PANCREATIC CANCER, SUSCEPTIBILITY TO, 4; PNCA4			533283
Number Sign	614321	MYOPATHY, DISTAL, TATEYAMA TYPE; MPDT			535209
Number Sign	614322	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12; SCAR12	SPINOCEREBELLAR ATAXIA WITH MENTAL RETARDATION AND EPILEPSY		540536
Percent	614323	NEVOID HYPERMELANOSIS, LINEAR AND WHORLED; LWNH		HYPERPIGMENTATION, PROGRESSIVE CRIBRIFORM AND ZOSTERIFORM, INCLUDED; PCZH, INCLUDED	828256
Number Sign	614324	OVARIAN DYSGENESIS 3; ODG3			505167
Number Sign	614325	PITT-HOPKINS-LIKE SYNDROME 2; PTHSL2			532847
Number Sign	614326	FEINGOLD SYNDROME 2; FGLDS2	BRACHYDACTYLY WITH SHORT STATURE AND MICROCEPHALY		508411
Number Sign	614327	TUMOR PREDISPOSITION SYNDROME; TPDS			8193
Number Sign	614328	INFLAMMATORY SKIN AND BOWEL DISEASE, NEONATAL, 1; NISBD1			508216
Percent	614329	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 31; MRT31			820341
Number Sign	614331	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6; HNPCC6	COLON CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6		514387
Number Sign	614332	CHROMOSOME 2p16.3 DELETION SYNDROME		SCHIZOPHRENIA 17, INCLUDED; SCZD17, INCLUDED	538155
Percent	614333	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 29; MRT29			820296
Number Sign	614335	ARTHROGRYPOSIS, DISTAL, TYPE 1B; DA1B			504214
Number Sign	614337	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 4; HNPCC4			499047
Number Sign	614338	PANCREATIC LIPASE DEFICIENCY; PNLIPD	LIPASE, CONGENITAL ABSENCE OF PANCREATIC;; PL DEFICIENCY	PANCREATIC COLIPASE DEFICIENCY, INCLUDED;; COLIPASE, CONGENITAL ABSENCE OF PANCREATIC, INCLUDED;; LIPASE AND COLIPASE, DEFICIENCY OF, INCLUDED;; LIPASE AND COLIPASE, CONGENITAL ABSENCE OF PANCREATIC, INCLUDED	537888
Number Sign	614340	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 27; MRT27			533526
Percent	614341	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 33; MRT33			820293
Percent	614342	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 30; MRT30			820294
Percent	614343	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 19; MRT19			820295
Percent	614344	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 23; MRT23			820344
Percent	614345	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 24; MRT24			820290
Percent	614346	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 25; MRT25			820291
Percent	614347	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 28; MRT28			820292
Number Sign	614350	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 5; HNPCC5			531388
Number Sign	614369	PERIPHERAL NEUROPATHY, MYOPATHY, HOARSENESS, AND HEARING LOSS; PNMHH			537014
Number Sign	614370	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 5; SMDP5	PULMONARY ALVEOLAR PROTEINOSIS 5;; PAP DUE TO CSF2RB DEFICIENCY;; CSF2RB DEFICIENCY		527529
Number Sign	614371	DENGUE VIRUS, SUSCEPTIBILITY TO		DENGUE FEVER, SUSCEPTIBILITY TO, INCLUDED;; DENGUE FEVER, PROTECTION AGAINST, INCLUDED;; DENGUE HEMORRHAGIC FEVER, SUSCEPTIBILITY TO, INCLUDED;; DENGUE SHOCK SYNDROME, SUSCEPTIBILITY TO, INCLUDED	511786
Number Sign	614372	MANNOSE-BINDING LECTIN DEFICIENCY; MBLD	LECTIN COMPLEMENT ACTIVATION PATHWAY, DEFECT IN, 1; LCAPD1;; MBL DEFICIENCY;; MANNOSE-BINDING PROTEIN DEFICIENCY;; MBP DEFICIENCY;; MBL2 DEFICIENCY		519383
Number Sign	614373	AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE; ALS16			536244
Percent	614375	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 4; AAA4			820281
Number Sign	614376	SHORT-RIB THORACIC DYSPLASIA 5 WITH OR WITHOUT POLYDACTYLY; SRTD5	ASPHYXIATING THORACIC DYSTROPHY 5; ATD5		513089
Number Sign	614377	NEPHRONOPHTHISIS 13; NPHP13			7931
Number Sign	614378	CRANIOECTODERMAL DYSPLASIA 4; CED4			7933
Number Sign	614379	COMPLEMENT COMPONENT 4B DEFICIENCY; C4BD	C4B DEFICIENCY		535731
Number Sign	614380	COMPLEMENT COMPONENT 4A DEFICIENCY; C4AD	C4A DEFICIENCY		502183
Number Sign	614381	LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD8			7911
Number Sign	614382	BACTEREMIA, SUSCEPTIBILITY TO, 1; BACTS1		BACTEREMIA, RESISTANCE TO, INCLUDED	511519
Number Sign	614383	BACTEREMIA, SUSCEPTIBILITY TO, 2; BACTS2			521391
Number Sign	614385	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7; HNPCC7			511235
Number Sign	614388	ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 1; EMPF1	EMPF		536033
Number Sign	614389	PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 1; RPRGL1	RPRGL;; RPL;; ABORTION, SPONTANEOUS, RECURRENT;; FETAL LOSS, RECURRENT, SUSCEPTIBILITY TO;; MISCARRIAGE, RECURRENT;; EMBRYONIC LOSS, RECURRENT;; STILLBIRTH, RECURRENT		533168
Number Sign	614390	PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 2; RPRGL2			537367
Number Sign	614391	PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 3; RPRGL3			536116
Number Sign	614395	GRAFT-VERSUS-HOST DISEASE, SUSCEPTIBILITY TO; GVHDS		GRAFT-VERSUS-HOST DISEASE, RESISTANCE TO, INCLUDED	534986
Number Sign	614399	MYOPATHY, AREFLEXIA, RESPIRATORY DISTRESS, AND DYSPHAGIA, EARLY-ONSET; EMARDD		MYOPATHY, AREFLEXIA, RESPIRATORY DISTRESS, AND DYSPHAGIA, EARLY-ONSET, MILD VARIANT, INCLUDED	534746
Number Sign	614400	GLUCOCORTICOID THERAPY, RESPONSE TO; GCTR			536490
Number Sign	614401	ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO; ACTFS			532054
Number Sign	614402	MICROPHTHALMIA, SYNDROMIC 11; MCOPS11			521787
Percent	614407	MICROCEPHALY, CEREBELLAR HYPOPLASIA, AND CARDIAC CONDUCTION DEFECT SYNDROME; MCHCCD	ZAKI-GLEESON SYNDROME		828057
Number Sign	614408	MYOPATHY, CENTRONUCLEAR, 3; CNM3			515892
Number Sign	614409	SPASTIC PARAPLEGIA 46, AUTOSOMAL RECESSIVE; SPG46			502272
Percent	614414	DEAFNESS, AUTOSOMAL RECESSIVE 96; DFNB96			820614
Number Sign	614415	CHILBLAIN LUPUS 2; CHBL2			501171
Number Sign	614416	RADIOHUMERAL FUSIONS WITH OTHER SKELETAL AND CRANIOFACIAL ANOMALIES; RHFCA			538479
Number Sign	614417	EPILEPSY, FAMILIAL TEMPORAL LOBE, 5; ETL5			532661
Number Sign	614418	FEBRILE SEIZURES, FAMILIAL, 11; FEB11	CONVULSIONS, FAMILIAL FEBRILE, 11		517988
Number Sign	614420	SYSTEMIC LUPUS ERYTHEMATOSUS 16; SLEB16			533098
Percent	614422	CATARACT 37; CTRCT37	CATARACT, CONGENITAL, CERULEAN TYPE, 5; CCA5		820613
Number Sign	614424	JOUBERT SYNDROME 14; JBTS14			6410
Number Sign	614429	VENTRICULAR SEPTAL DEFECT 1; VSD1			540721
Number Sign	614430	ATRIOVENTRICULAR SEPTAL DEFECT 4; AVSD4			499460
Number Sign	614431	VENTRICULAR SEPTAL DEFECT 2; VSD2			538500
Number Sign	614432	VENTRICULAR SEPTAL DEFECT 3; VSD3			513638
Number Sign	614433	ATRIAL SEPTAL DEFECT 8; ASD8			538357
Number Sign	614434	CUTIS LAXA, AUTOSOMAL DOMINANT 2; ADCL2			6530
Number Sign	614435	HYPOPLASTIC LEFT HEART SYNDROME 2; HLHS2			529105
Number Sign	614436	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2P; CMT2P	CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2P;; CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2G, FORMERLY; CMT2G, FORMERLY		6525
Number Sign	614437	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IB; ARCL1B			6527
Number Sign	614438	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIB; ARCL3B	DE BARSY SYNDROME B		524882
Number Sign	614441	HYPERTROPHIC OSTEOARTHROPATHY, PRIMARY, AUTOSOMAL RECESSIVE, 2; PHOAR2	PACHYDERMOPERIOSTOSIS, AUTOSOMAL RECESSIVE;; PDP, AUTOSOMAL RECESSIVE		527671
Number Sign	614450	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 6; CHNG6			509015
Number Sign	614455	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE E; CMTDIE	CHARCOT-MARIE-TOOTH NEUROPATHY WITH FOCAL SEGMENTAL GLOMERULONEPHRITIS		498954
Number Sign	614456	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 8; CMM8	MELANOMA AND RENAL CELL CARCINOMA, SUSCEPTIBILITY TO		520943
Number Sign	614457	ICHTHYOSIS, SPASTIC QUADRIPLEGIA, AND MENTAL RETARDATION; ISQMR			828022
Number Sign	614458	THIAMINE METABOLISM DYSFUNCTION SYNDROME 5 (EPISODIC ENCEPHALOPATHY TYPE); THMD5	ENCEPHALOPATHY, EPISODIC, DUE TO THIAMINE PYROPHOSPHOKINASE DEFICIENCY		504331
Number Sign	614462	HYPERGLYCINEMIA, LACTIC ACIDOSIS, AND SEIZURES; HGCLAS	PYRUVATE DEHYDROGENASE LIPOIC ACID SYNTHETASE DEFICIENCY; PDHLD		527334
Number Sign	614464	JOUBERT SYNDROME 15; JBTS15		JOUBERT SYNDROME 9/15, DIGENIC, INCLUDED;; JOUBERT SYNDROME 12/15, DIGENIC, INCLUDED	6496
Number Sign	614465	JOUBERT SYNDROME 16; JBTS16			6492
Number Sign	614466	CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 6; CHDS6			497652
Number Sign	614468	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 3; FCAS3	ANTIBODY DEFICIENCY AND IMMUNE DYSREGULATION, PLCG2-ASSOCIATED; PLAID;; FAMILIAL ATYPICAL COLD URTICARIA; FACU		524073
Number Sign	614470	RAS-ASSOCIATED AUTOIMMUNE LEUKOPROLIFERATIVE DISORDER; RALD	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE IV; ALPS4		539470
Number Sign	614473	ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2			6305
Number Sign	614474	ATRIOVENTRICULAR SEPTAL DEFECT 5; AVSD5			518295
Number Sign	614475	ATRIAL SEPTAL DEFECT 9; ASD9			536703
Number Sign	614480	HYPERTRIGLYCERIDEMIA, TRANSIENT INFANTILE; HTGTI			537417
Number Sign	614482	CONGENITAL CATARACTS, HEARING LOSS, AND NEURODEGENERATION; CCHLND			504370
Number Sign	614483	PORENCEPHALY 2; POREN2			537855
Number Sign	614485	TRIGONOCEPHALY 2; TRIGNO2	CRANIOSYNOSTOSIS, METOPIC		522970
Number Sign	614486	THROMBOPHILIA DUE TO THROMBOMODULIN DEFECT; THPH12			507421
Number Sign	614487	SPASTIC ATAXIA 5, AUTOSOMAL RECESSIVE; SPAX5			538627
Number Sign	614491	PSEUDOHYPOALDOSTERONISM, TYPE IIB; PHA2B			6252
Number Sign	614492	PSEUDOHYPOALDOSTERONISM, TYPE IIC; PHA2C			6255
Number Sign	614493	WISKOTT-ALDRICH SYNDROME 2; WAS2	WIPF1 DEFICIENCY		522960
Percent	614494	RETINITIS PIGMENTOSA 63; RP63			820610
Number Sign	614495	PSEUDOHYPOALDOSTERONISM, TYPE IID; PHA2D	FAMILIAL HYPERKALEMIC HYPERTENSION; FHHT		6241
Number Sign	614496	PSEUDOHYPOALDOSTERONISM, TYPE IIE; PHA2E			6243
Number Sign	614497	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 7; MCOPCB7			539893
Number Sign	614498	RIGIDITY AND MULTIFOCAL SEIZURE SYNDROME, LETHAL NEONATAL; RMFSL			521016
Number Sign	614499	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 34, WITH VARIANT LISSENCEPHALY; MRT34			516771
Number Sign	614500	CONE-ROD DYSTROPHY 16; CORD16	RETINAL DYSTROPHY WITH EARLY MACULAR INVOLVEMENT	RETINITIS PIGMENTOSA 64, INCLUDED; RP64, INCLUDED	7145
Number Sign	614501	PSYCHOMOTOR RETARDATION, EPILEPSY, AND CRANIOFACIAL DYSMORPHISM; PMRED			508537
Number Sign	614504	USHER SYNDROME, TYPE IIIB; USH3B			540964
Number Sign	614507	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ir; CDG1R			7003
Number Sign	614508	MIRROR MOVEMENTS 2; MRMV2			7005
Number Sign	614514	THROMBOPHILIA DUE TO PROTEIN S DEFICIENCY, AUTOSOMAL RECESSIVE; THPH6			522326
Number Sign	614519	HEMORRHAGE, INTRACEREBRAL, SUSCEPTIBILITY TO; ICH	STROKE, HEMORRHAGIC, SUSCEPTIBILITY TO		503278
