prefix	MIM_number	preferred_title	alternative_title	symbols
Number Sign	611588	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 4; MDDGC4	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2M; LGMD2M	
Number Sign	611590	RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEMOLYTIC ANEMIA	RTA, DISTAL, AUTOSOMAL RECESSIVE, WITH HEMOLYTIC ANEMIA	RENAL TUBULAR ACIDOSIS, DISTAL, WITH NORMAL RED CELL MORPHOLOGY, INCLUDED
Number Sign	611597	CATARACT 12, MULTIPLE TYPES; CTRCT12		
Percent	611598	CELIAC DISEASE, SUSCEPTIBILITY TO, 6; CELIAC6	GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 6	AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 5, INCLUDED; AIS5, INCLUDED
Number Sign	611603	LISSENCEPHALY 3; LIS3		
Number Sign	611615	CARDIOMYOPATHY, DILATED, 1X; CMD1X	CARDIOMYOPATHY, DILATED, WITH MILD OR NO PROXIMAL MUSCLE WEAKNESS	
Percent	611630	EPILEPSY, FAMILIAL TEMPORAL LOBE, 3; ETL3	EPILEPSY, FAMILIAL MESIAL TEMPORAL LOBE; FMTLE	
Percent	611631	EPILEPSY, FAMILIAL TEMPORAL LOBE, 4; ETL4	EPILEPSY, OCCIPITOTEMPORAL LOBE, AND MIGRAINE WITH AURA; EPOLM	
Percent	611634	FEBRILE SEIZURES, FAMILIAL, 9; FEB9	FEBRILE CONVULSIONS, FAMILIAL, 9; FEB9	
Percent	611637	PRIMARY LATERAL SCLEROSIS, ADULT, 1; PLSA1	PLS, ADULT; PLSA	
Number Sign	611638	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 5; MCOPCB5		
Percent	611644	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 9; HSCR9		
NULL	611650	PERIPAPILLARY ATROPHY, BETA TYPE; PPAB	BETA-PPA;; PERIPAPILLARY CHORIORETINAL ATROPHY, BETA TYPE	
Number Sign	611664	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 7; SHEP7	SKIN/HAIR/EYE PIGMENTATION 7, BLOND/BROWN HAIR;; SKIN/HAIR/EYE PIGMENTATION 7, DARK/LIGHT SKIN	
Percent	611694	DYSTONIA WITH CEREBELLAR ATROPHY; DYTCA		
NULL	611702	SPONDYLOMETAPHYSEAL DYSPLASIA, EAST AFRICAN TYPE		
Number Sign	611705	SALIH MYOPATHY; SALMY	MYOPATHY, EARLY-ONSET, WITH FATAL CARDIOMYOPATHY; EOMFC	
Percent	611706	MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 12; MGR12		
Percent	611717	SPONDYLOEPIPHYSEAL DYSPLASIA-BRACHYDACTYLY AND DISTINCTIVE SPEECH	SED-BDS;; FANTASY ISLAND SYNDROME;; TATOO DYSPLASIA	
Number Sign	611718	HYPOMAGNESEMIA 4, RENAL; HOMG4	HYPOMAGNESEMIA, RENAL, NORMOCALCIURIC	
Number Sign	611719	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 5; COXPD5		
Number Sign	611721	COMBINED SAPOSIN DEFICIENCY	PROSAPOSIN DEFICIENCY; PSAPD;; COMBINED SAP DEFICIENCY	
Number Sign	611722	KRABBE DISEASE, ATYPICAL, DUE TO SAPOSIN A DEFICIENCY	SAPOSIN A DEFICIENCY	
Number Sign	611724	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 8; SHEP8	SKIN/HAIR/EYE PIGMENTATION 8, BROWN HAIR;; SKIN/HAIR/EYE PIGMENTATION 8, FAIR SKIN;; SKIN/HAIR/EYE PIGMENTATION 8, BLUE/LIGHT EYE COLOR;; SKIN/HAIR/EYE PIGMENTATION 8, FRECKLING/SUNBURN	
Number Sign	611726	EPILEPSY, PROGRESSIVE MYOCLONIC, 3, WITH OR WITHOUT INTRACELLULAR INCLUSIONS; EPM3	CEROID LIPOFUSCINOSIS, NEURONAL, 14; CLN14	
NULL	611733	DAUWERSE-PETERS SYNDROME	SHORT STATURE, FACIAL DYSMORPHISM, SEVERE BRACHYDACTYLY, AND SYNDACTYLY	
Percent	611738	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 7; BMND7		
Percent	611739	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 8; BMND8	OSTEOPOROSIS, SUSCEPTIBILITY TO	
Number Sign	611742	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 9; SHEP9	SKIN/HAIR/EYE PIGMENTATION 9, DARK/LIGHT HAIR;; SKIN/HAIR/EYE PIGMENTATION 9, BROWN/NONBROWN EYES;; SKIN/HAIR/EYE PIGMENTATION 9, RED/NONRED HAIR;; SKIN/HAIR/EYE PIGMENTATION 9, FRECKLING/SUNBURN	
Number Sign	611755	LEBER CONGENITAL AMAUROSIS 10; LCA10		
Number Sign	611762	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 2; FCAS2		
Number Sign	611771	LIPOPROTEIN GLOMERULOPATHY; LPG		
Number Sign	611773	ANGIOPATHY, HEREDITARY, WITH NEPHROPATHY, ANEURYSMS, AND MUSCLE CRAMPS; HANAC		
Number Sign	611775	KAWASAKI DISEASE	KD;; MUCOCUTANEOUS LYMPH NODE SYNDROME;; INFANTILE POLYARTERITIS	
Number Sign	611777	BRUGADA SYNDROME 2; BRGDA2		
Number Sign	611783	ERYTHROCYTOSIS, FAMILIAL, 4; ECYT4		
Number Sign	611788	AORTIC ANEURYSM, FAMILIAL THORACIC 6; AAT6	FAMILIAL THORACIC AORTIC ANEURYSM WITH LIVEDO RETICULARIS AND IRIS FLOCCULI	
Number Sign	611804	ELLIPTOCYTOSIS 1; EL1	ELLIPTOCYTOSIS, RHESUS-LINKED TYPE;; PROTEIN 4.1 OF ERYTHROCYTE MEMBRANE, DEFECT OF;; 4.1-MINUS TRAIT;; 4.1- TRAIT	
NULL	611808	TREMOR, HEREDITARY ESSENTIAL, AND IDIOPATHIC NORMAL PRESSURE HYDROCEPHALUS; ETINPH		
Number Sign	611809	BESTROPHINOPATHY, AUTOSOMAL RECESSIVE; ARB		
Number Sign	611812	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS; SERKAL	SERKAL SYNDROME	
Number Sign	611816	TEMPLE-BARAITSER SYNDROME; TMBTS	MENTAL RETARDATION, SEVERE, AND ABSENT NAILS OF HALLUX AND POLLEX	
Number Sign	611818	LONG QT SYNDROME 9; LQT9	LONG QT SYNDROME 9, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED;; LONG QT SYNDROME 2/9, DIGENIC, INCLUDED; LQT2/9, DIGENIC, INCLUDED	
Number Sign	611819	LONG QT SYNDROME 10; LQT10		ATRIAL FIBRILLATION, FAMILIAL, 17, INCLUDED; ATFB17, INCLUDED
Number Sign	611820	LONG QT SYNDROME 11; LQT11		
Number Sign	611862	WHITE BLOOD CELL COUNT QUANTITATIVE TRAIT LOCUS 1; WBCQ1		
Percent	611863	MICROTIA WITH NASOLACRIMAL DUCT IMPERFORATION AND EYE COLOBOMA		
Number Sign	611867	CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL	DISTAL CHROMOSOME 22q11.2 DELETION SYNDROME	
Number Sign	611868	PROSTATE CANCER, HEREDITARY, 12; HPC12		
Number Sign	611875	BRUGADA SYNDROME 3; BRGDA3		
Number Sign	611876	BRUGADA SYNDROME 4; BRGDA4		
Number Sign	611878	CARDIOMYOPATHY, DILATED, 1Y; CMD1Y		LEFT VENTRICULAR NONCOMPACTION 9, INCLUDED; LVNC9, INCLUDED
Number Sign	611879	CARDIOMYOPATHY, DILATED, 1Z; CMD1Z		
Number Sign	611880	CARDIOMYOPATHY, DILATED, 2A; CMD2A	CARDIOMYOPATHY, DILATED, AUTOSOMAL RECESSIVE;; CARDIOMYOPATHY, CONGESTIVE, AUTOSOMAL RECESSIVE	
Number Sign	611881	GLYCOGEN STORAGE DISEASE XII; GSD12	GSD XII;; ALDOLASE A DEFICIENCY;; ALDOA DEFICIENCY;; ALDOLASE DEFICIENCY, RED CELL;; RED CELL ALDOLASE DEFICIENCY	
Number Sign	611884	CILIARY DYSKINESIA, PRIMARY, 7; CILD7	CILIARY DYSKINESIA, PRIMARY, 7, WITH OR WITHOUT SITUS INVERSUS	
NULL	611886	MESOMELIC DYSPLASIA, CAMERA TYPE		
Number Sign	611890	LETHAL ARTHROGRYPOSIS WITH ANTERIOR HORN CELL DISEASE; LAAHD		
Percent	611891	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 3; AAA3		
Percent	611892	ANEURYSM, INTRACRANIAL BERRY, 6; ANIB6		
Number Sign	611895	AMYOTROPHIC LATERAL SCLEROSIS 9; ALS9		
Percent	611897	NANOPHTHALMOS 3; NNO3	NANOPHTHALMIA 3	
Percent	611907	EPISODIC ATAXIA, TYPE 7; EA7		
Number Sign	611913	CHROMOSOME 16p11.2 DELETION SYNDROME, 593-KB		AUTISM, SUSCEPTIBILITY TO, 14A, INCLUDED; AUTS14A, INCLUDED
Percent	611920	C-REACTIVE PROTEIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1; CRPQTL1		
Percent	611926	IMMUNODEFICIENCY, OVARIAN DYSGENESIS, AND PULMONARY FIBROSIS		
Number Sign	611928	PROSTATE CANCER, HEREDITARY, 13; HPC13		
Percent	611929	CAMPTODACTYLY SYNDROME, GUADALAJARA, TYPE III		
Percent	611934	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 5; EIG5	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, LOCUS ON CHROMOSOME 10	
Number Sign	611936	CHROMOSOME 3q29 DUPLICATION SYNDROME	MICRODUPLICATION 3q29 SYNDROME	
Number Sign	611938	VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 2; CPVT2	VENTRICULAR TACHYCARDIA, STRESS-INDUCED POLYMORPHIC; VTSIP	
Number Sign	611942	EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 6; ECA6		EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 6, INCLUDED; EIG6, INCLUDED
Number Sign	611943	RIDDLE SYNDROME	RADIOSENSITIVITY, IMMUNODEFICIENCY, DYSMORPHIC FEATURES, AND LEARNING DIFFICULTIES	
Percent	611944	LYMPHEDEMA, HEREDITARY, IB; LMPH1B		
Percent	611945	SPASTIC PARAPLEGIA 37, AUTOSOMAL DOMINANT; SPG37		
Number Sign	611953	MACULAR DEGENERATION, AGE-RELATED, 11; ARMD11		
Percent	611955	PROSTATE CANCER, HEREDITARY, 11; HPC11		
Percent	611958	PROSTATE CANCER, HEREDITARY, 14; HPC14		
Percent	611959	PROSTATE CANCER, HEREDITARY, 15; HPC15		
Number Sign	611960	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 7; ASRT7		
NULL	611961	STEVENSON-CAREY SYNDROME		
Percent	611962	HUNTER-MACDONALD SYNDROME		
Number Sign	612001	CHROMOSOME 15q13.3 DELETION SYNDROME	CHROMOSOME 15q13.3 MICRODELETION SYNDROME	
Number Sign	612004	THROMBOCYTOPENIA 4; THC4	THROMBOCYTOPENIA, AUTOSOMAL DOMINANT, 4	
Percent	612005	CELIAC DISEASE, SUSCEPTIBILITY TO, 7; CELIAC7	GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 7	
Percent	612006	CELIAC DISEASE, SUSCEPTIBILITY TO, 8; CELIAC8	GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 8	
Percent	612007	CELIAC DISEASE, SUSCEPTIBILITY TO, 9; CELIAC9	GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 9	
Percent	612008	CELIAC DISEASE, SUSCEPTIBILITY TO, 10; CELIAC10	GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 10	
Percent	612009	CELIAC DISEASE, SUSCEPTIBILITY TO, 11; CELIAC11	GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 11	
Percent	612010	CELIAC DISEASE, SUSCEPTIBILITY TO, 12; CELIAC12	GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 12	
Percent	612011	CELIAC DISEASE, SUSCEPTIBILITY TO, 13; CELIAC13	GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 13	
Number Sign	612015	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE In; CDG1N	CDG In; CDGIn	
Number Sign	612016	COENZYME Q10 DEFICIENCY, PRIMARY, 4; COQ10D4	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 9; SCAR9	
Percent	612017	PYLORIC STENOSIS, INFANTILE HYPERTROPHIC, 3; IHPS3		
Number Sign	612018	CATARACT 47; CTRCT47	CATARACT, JUVENILE, WITH MICROCORNEA;; CATARACT, JUVENILE, WITH MICROCORNEA AND GLUCOSURIA, FORMERLY; CJMG, FORMERLY	
Number Sign	612020	SPASTIC PARAPLEGIA 39, AUTOSOMAL RECESSIVE; SPG39	NTE-RELATED MOTOR NEURON DISORDER; NTEMND	
Percent	612030	CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 9; CHDS9		
Number Sign	612042	RECOMBINATION RATE QUANTITATIVE TRAIT LOCUS 1; RRQTL1		
Number Sign	612052	SMOKING AS A QUANTITATIVE TRAIT LOCUS 3; SQTL3	NICOTINE DEPENDENCE, SUSCEPTIBILITY TO	LUNG CANCER SUSCEPTIBILITY 2, INCLUDED; LNCR2, INCLUDED
Number Sign	612067	DYSTONIA 16; DYT16		
Number Sign	612069	AMYOTROPHIC LATERAL SCLEROSIS 10 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA; ALS10		FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, TARDBP-RELATED, INCLUDED;; FRONTOTEMPORAL DEMENTIA WITH TDP43 INCLUSIONS, TARDBP-RELATED, INCLUDED;; FTLD-TDP, TARDBP-RELATED, INCLUDED
Number Sign	612073	MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (ENCEPHALOMYOPATHIC WITH OR WITHOUT METHYLMALONIC ACIDURIA); MTDPS5	MITOCHONDRIAL DNA DEPLETION SYNDROME, ENCEPHALOMYOPATHIC FORM, WITH OR WITHOUT METHYLMALONIC ACIDURIA, AUTOSOMAL RECESSIVE, SUCLA2-RELATED	
Number Sign	612075	MITOCHONDRIAL DNA DEPLETION SYNDROME 8A (ENCEPHALOMYOPATHIC TYPE WITH RENAL TUBULOPATHY); MTDPS8A	MITOCHONDRIAL DNA DEPLETION SYNDROME, ENCEPHALOMYOPATHIC, WITH RENAL TUBULOPATHY, AUTOSOMAL RECESSIVE	MITOCHONDRIAL DNA DEPLETION SYNDROME 8B (MNGIE TYPE), INCLUDED; MTDPS8B, INCLUDED;; MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME, RRM2B-RELATED, INCLUDED;; MNGIE, RRM2B-RELATED, INCLUDED
Number Sign	612076	HYPOURICEMIA, RENAL, 2; RHUC2		URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 2, INCLUDED; UAQTL2, INCLUDED;; GOUT SUSCEPTIBILITY 2, INCLUDED; GOUT2, INCLUDED
Number Sign	612079	ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCRINOPATHY SYNDROME; ANES	ANE SYNDROME	
Percent	612083	MUSCLE STRENGTH QUANTITATIVE TRAIT LOCUS 1	MUSTQTL1	
Percent	612089	HYPOPHOSPHATEMIC RICKETS AND HYPERPARATHYROIDISM		
Number Sign	612095	RETINITIS PIGMENTOSA 41; RP41	RETINAL DEGENERATION, AUTOSOMAL RECESSIVE, PROMININ-RELATED	
Percent	612096	OTOSCLEROSIS 8; OTSC8		
Percent	612097	DEAFNESS, UNILATERAL, WITH DELAYED ENDOLYMPHATIC HYDROPS		
Number Sign	612098	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 11; CMH11		
Percent	612099	TRICHOEPITHELIOMA, MULTIPLE FAMILIAL, 2	MFT2	
Number Sign	612100	AUTISM, SUSCEPTIBILITY TO, 15; AUTS15		
Percent	612108	FASTING PLASMA GLUCOSE LEVEL QUANTITATIVE TRAIT LOCUS 1; FGQTL1		
Number Sign	612109	OCULOAURICULAR SYNDROME; OCACS	MICROPHTHALMIA, MICROCORNEA, ANTERIOR SEGMENT DYSGENESIS, CATARACT, OCULAR COLOBOMA, RETINAL PIGMENT EPITHELIUM ABNORMALITIES, ROD-CONE DYSTROPHY, AND ANOMALIES OF THE EXTERNAL EAR;; SCHORDERET-MUNIER-FRANCESCHETTI SYNDROME	
Percent	612110	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 9; BMND9		
Percent	612113	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 10; BMND10		
Percent	612114	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 11; BMND11		
Percent	612119	TREHALASE DEFICIENCY	TREHALOSE INTOLERANCE	
Number Sign	612124	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 12; CMH12		
Number Sign	612126	GLUT1 DEFICIENCY SYNDROME 2; GLUT1DS2	PAROXYSMAL EXERCISE-INDUCED DYSKINESIA WITH OR WITHOUT EPILEPSY AND/OR HEMOLYTIC ANEMIA;; PED WITH OR WITHOUT EPILEPSY AND/OR HEMOLYTIC ANEMIA;; PAROXYSMAL EXERTION-INDUCED DYSTONIA WITH OR WITHOUT EPILEPSY AND/OR HEMOLYTIC ANEMIA;; DYSTONIA 18; DYT18	
Number Sign	612132	ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH T-CELL IMMUNODEFICIENCY, AUTOSOMAL DOMINANT		
Number Sign	612138	EPIDERMOLYSIS BULLOSA SIMPLEX WITH PYLORIC ATRESIA; EBSPA	EBS WITH PYLORIC ATRESIA	
Number Sign	612158	CARDIOMYOPATHY, DILATED, 1AA, WITH OR WITHOUT LEFT VENTRICULAR NONCOMPACTION; CMD1AA		CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 23, WITH OR WITHOUT VENTRICULAR NONCOMPACTION, INCLUDED; CMH23, INCLUDED
Number Sign	612160	HISTIOCYTOMA, ANGIOMATOID FIBROUS		
Percent	612161	ANEURYSM, INTRACRANIAL BERRY, 7; ANIB7		
Percent	612162	ANEURYSM, INTRACRANIAL BERRY, 8; ANIB8		
Number Sign	612164	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 4; EIEE4		
Percent	612165	RETINITIS PIGMENTOSA 29; RP29		
Percent	612198	DIASTASIS RECTI AND WEAKNESS OF THE LINEA ALBA		
Number Sign	612199	CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 1; CRMCC1	CRMCC;; COATS PLUS SYNDROME	
Number Sign	612201	ATRIAL FIBRILLATION, FAMILIAL, 6; ATFB6		
Number Sign	612219	EWING SARCOMA; ES		NEUROEPITHELIOMA, PERIPHERAL, INCLUDED; PNE, INCLUDED;; ASKIN TUMOR, INCLUDED
Percent	612221	STATURE QUANTITATIVE TRAIT LOCUS 10; STQTL10		
Percent	612223	STATURE QUANTITATIVE TRAIT LOCUS 11; STQTL11		
Percent	612224	STATURE QUANTITATIVE TRAIT LOCUS 12; STQTL12		
Number Sign	612225	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9; MODY9		
Percent	612226	STATURE QUANTITATIVE TRAIT LOCUS 13; STQTL13		
Number Sign	612227	DIABETES MELLITUS, KETOSIS-PRONE; KPD		
Percent	612228	STATURE QUANTITATIVE TRAIT LOCUS 14; STQTL14		
Number Sign	612229	COLORECTAL CANCER, SUSCEPTIBILITY TO, 3; CRCS3	COLORECTAL CANCER, SUSCEPTIBILITY TO, ON CHROMOSOME 18	
Percent	612230	COLORECTAL CANCER, SUSCEPTIBILITY TO, 5; CRCS5	COLORECTAL CANCER, SUSCEPTIBILITY TO, ON CHROMOSOME 10	
Percent	612231	COLORECTAL CANCER, SUSCEPTIBILITY TO, 6; CRCS6	COLORECTAL CANCER, SUSCEPTIBILITY TO, ON CHROMOSOME 8q23	
Percent	612232	COLORECTAL CANCER, SUSCEPTIBILITY TO, 7; CRCS7	COLORECTAL CANCER, SUSCEPTIBILITY TO, ON CHROMOSOME 11	
Number Sign	612233	LEUKODYSTROPHY, HYPOMYELINATING, 4; HLD4	MITOCHONDRIAL HSP60 CHAPERONOPATHY;; MITCHAP60 DISEASE	
Number Sign	612237	CHONDROSARCOMA, EXTRASKELETAL MYXOID	EMC	
Percent	612238	SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 4; IS4		
Percent	612239	SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 5; IS5		
Number Sign	612240	ATRIAL FIBRILLATION, FAMILIAL, 7; ATFB7		
Percent	612241	INFLAMMATORY BOWEL DISEASE 12; IBD12		
Number Sign	612242	CHROMOSOME 10q22.3-q23.2 DELETION SYNDROME		JUVENILE POLYPOSIS OF INFANCY, INCLUDED;; JUVENILE POLYPOSIS, INFANTILE, INCLUDED
Number Sign	612244	INFLAMMATORY BOWEL DISEASE 13; IBD13		
Number Sign	612245	INFLAMMATORY BOWEL DISEASE 14; IBD14		
Number Sign	612247	CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS; CAN	CROUZONODERMOSKELETAL SYNDROME	
Number Sign	612251	SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 10; SLEB10		
Number Sign	612253	SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 11; SLEB11		
Percent	612254	SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 12; SLEB12		
Percent	612255	INFLAMMATORY BOWEL DISEASE 15; IBD15		
Percent	612259	INFLAMMATORY BOWEL DISEASE 16; IBD16		
Number Sign	612260	MYD88 DEFICIENCY; MYD88D	PYOGENIC BACTERIAL INFECTIONS, RECURRENT, DUE TO MYD88 DEFICIENCY;; RECURRENT PYOGENIC BACTERIAL INFECTIONS DUE TO MYD88 DEFICIENCY	
Number Sign	612261	INFLAMMATORY BOWEL DISEASE 17; IBD17		
Percent	612262	INFLAMMATORY BOWEL DISEASE 18; IBD18		
Percent	612263	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 7; CMM7		
Number Sign	612267	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 10; SHEP10	SKIN/HAIR/EYE PIGMENTATION 10, BLOND/BROWN HAIR	
Number Sign	612269	EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 5; ECA5		
Number Sign	612271	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 11; SHEP11	MELANESIAN BLOND HAIR;; SKIN/HAIR/EYE PIGMENTATION 11, BLUE/NONBLUE EYES	
Percent	612274	CILIARY DYSKINESIA, PRIMARY, 8; CILD8	CILIARY DYSKINESIA, PRIMARY, 8, WITH OR WITHOUT SITUS INVERSUS	
Number Sign	612278	INFLAMMATORY BOWEL DISEASE (CROHN DISEASE) 19; IBD19		
Percent	612279	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 6; GEFSP6	GEFS+, TYPE 6; GEFS+6	
Number Sign	612281	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 6; ARCI6	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE, NIPAL4-RELATED	
Number Sign	612284	MECKEL SYNDROME, TYPE 6; MKS6		
Number Sign	612285	JOUBERT SYNDROME 9; JBTS9		JOUBERT SYNDROME 9/15, DIGENIC, INCLUDED
Number Sign	612286	NEPHROLITHIASIS/OSTEOPOROSIS, HYPOPHOSPHATEMIC, 1; NPHLOP1		
Number Sign	612287	NEPHROLITHIASIS/OSTEOPOROSIS, HYPOPHOSPHATEMIC, 2; NPHLOP2		
Percent	612288	INFLAMMATORY BOWEL DISEASE 20; IBD20		
NULL	612289	PROGEROID SYNDROME, CONGENITAL, PETTY TYPE		
Number Sign	612290	MICROTIA, HEARING IMPAIRMENT, AND CLEFT PALATE		MICROTIA WITH OR WITHOUT HEARING IMPAIRMENT, INCLUDED
Number Sign	612291	JOUBERT SYNDROME 8; JBTS8		
Number Sign	612292	BIRK-BAREL MENTAL RETARDATION DYSMORPHISM SYNDROME	BIRK-BAREL SYNDROME;; MENTAL RETARDATION WITH HYPOTONIA AND FACIAL DYSMORPHISM	
Percent	612293	POROKERATOSIS 5, DISSEMINATED SUPERFICIAL ACTINIC TYPE; POROK5	POROKERATOSIS, DISSEMINATED SUPERFICIAL ACTINIC, 3; DSAP3	
Number Sign	612300	HEMOLYTIC ANEMIA, CD59-MEDIATED, WITH OR WITHOUT IMMUNE-MEDIATED POLYNEUROPATHY; HACD59	CD59 DEFICIENCY	
Number Sign	612301	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7; OPTB7	OSTEOPETROSIS, OSTEOCLAST-POOR, WITH HYPOGAMMAGLOBULINEMIA	
Number Sign	612304	THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL RECESSIVE; THPH4	PROTEIN C DEFICIENCY, AUTOSOMAL RECESSIVE;; PROC DEFICIENCY, AUTOSOMAL RECESSIVE	
Percent	612306	THYROID-STIMULATING HORMONE LEVEL QUANTITATIVE TRAIT LOCUS 1; TSHQTL1	THYROTROPIN QUANTITATIVE TRAIT LOCUS 1	
Number Sign	612310	PREMATURE OVARIAN FAILURE 6; POF6		
Percent	612311	ATTENTION DEFICIT-HYPERACTIVITY DISORDER, SUSCEPTIBILITY TO, 5	ADHD5;; MOTOR TIMING QUANTITATIVE TRAIT LOCUS	
Percent	612312	ATTENTION DEFICIT-HYPERACTIVITY DISORDER, SUSCEPTIBILITY TO, 6	ADHD6;; DIGIT SPAN QUANTITATIVE TRAIT LOCUS	
Number Sign	612313	GLASS SYNDROME; GLASS	CHROMOSOME 2q32-q33 DELETION SYNDROME	
Number Sign	612318	PSEUDOFOLLICULITIS BARBAE	PFB;; PILI INCARNATI;; INGROWN HAIRS	
Number Sign	612319	SPASTIC PARAPLEGIA 35, AUTOSOMAL RECESSIVE; SPG35	FATTY ACID HYDROXYLASE-ASSOCIATED NEURODEGENERATION; FAHN;; LEUKODYSTROPHY, DYSMYELINATING, AND SPASTIC PARAPARESIS WITH OR WITHOUT DYSTONIA	
Percent	612335	SPASTIC PARAPLEGIA 38, AUTOSOMAL DOMINANT; SPG38		
Number Sign	612336	THROMBOPHILIA DUE TO PROTEIN S DEFICIENCY, AUTOSOMAL DOMINANT; THPH5		
Number Sign	612337	MENTAL RETARDATION, AUTOSOMAL DOMINANT 22; MRD22		CHROMOSOME 1q43-q44 DELETION SYNDROME, INCLUDED;; CHROMOSOME 1qter DELETION SYNDROME, INCLUDED
Percent	612343	MUSICAL APTITUDE QUANTITATIVE TRAIT LOCUS		
Number Sign	612345	CHROMOSOME 2q31.2 DELETION SYNDROME		
Number Sign	612347	JERVELL AND LANGE-NIELSEN SYNDROME 2; JLNS2		
Percent	612348	THROMBOPHILIA, FAMILIAL, DUE TO DECREASED RELEASE OF TISSUE PLASMINOGEN ACTIVATOR; THPH9		HYPERFIBRINOLYSIS, FAMILIAL, DUE TO INCREASED RELEASE OF TISSUE PLASMINOGEN ACTIVATOR, INCLUDED
Number Sign	612350	SPONDYLOCHEIRODYSPLASIA, EHLERS-DANLOS SYNDROME-LIKE	SCD-EDS	
